source_full_name,period,maintenance_commits,commit_file_events,churn,start_size,end_size,mean_size,relative_churn,net_growth,expanding_events,shrinking_events,balanced_content_events,non_content_events,repository_commits,maintenance_commit_share
microsoft/vscode-isort,3,0,0,0,424.0,424.0,424.0,0.0,0.0,0,0,0,0,14,0.0
microsoft/vscode-isort,4,1,3,48,424.0,462.0,424.22625330687833,11.314716999675545,38.0,3,0,0,0,6,16.666666666666668
microsoft/vscode-mypy,1,4,5,154,107.0,422.0,339.1196569113756,45.41169963504824,315.0,3,2,0,0,30,13.333333333333334
microsoft/vscode-mypy,2,2,2,12,422.0,424.0,423.790625,2.831586942254799,2.0,1,0,1,0,18,11.11111111111111
microsoft/vscode-mypy,3,0,0,0,424.0,424.0,424.0,0.0,0.0,0,0,0,0,12,0.0
microsoft/vscode-mypy,4,1,3,50,424.0,462.0,424.22930059523804,11.786078879946476,38.0,3,0,0,0,3,33.333333333333336
microsoft/vscode-pylint,1,5,6,158,107.0,427.0,348.5470924272487,45.33103372049472,320.0,4,2,0,0,39,12.820512820512821
microsoft/vscode-pylint,2,2,2,12,427.0,429.0,428.79089203042327,2.798566905928726,2.0,1,0,1,0,21,9.523809523809524
microsoft/vscode-pylint,3,0,0,0,429.0,429.0,429.0,0.0,0.0,0,0,0,0,12,0.0
microsoft/vscode-pylint,4,1,3,48,429.0,467.0,429.2342956349206,11.182703825890405,38.0,3,0,0,0,1,100.0
modeled-information-format/MIF,1,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0,21,0.0
modeled-information-format/MIF,2,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0,13,0.0
modeled-information-format/MIF,3,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0,9,0.0
modeled-information-format/MIF,4,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0,8,0.0
ohcnetwork/care_fe,1,1,1,154,159.0,235.0,235.07076471560845,65.51218744122058,76.0,0,1,0,0,141,0.7092198581560284
ohcnetwork/care_fe,2,0,0,0,235.0,235.0,235.0,0.0,0.0,0,0,0,0,76,0.0
ohcnetwork/care_fe,3,0,0,0,235.0,235.0,235.0,0.0,0.0,0,0,0,0,38,0.0
ohcnetwork/care_fe,4,0,0,0,235.0,235.0,235.0,0.0,0.0,0,0,0,0,43,0.0
openvinotoolkit/openvino.genai,1,1,1,127,218.0,287.0,233.19069568452383,54.46186419539406,69.0,1,0,0,0,80,1.25
openvinotoolkit/openvino.genai,2,6,6,106,287.0,353.0,322.0208101851852,32.91712729343248,66.0,6,0,0,0,75,8.0
openvinotoolkit/openvino.genai,3,0,0,0,353.0,353.0,353.0,0.0,0.0,0,0,0,0,87,0.0
openvinotoolkit/openvino.genai,4,0,0,0,353.0,353.0,353.0,0.0,0.0,0,0,0,0,54,0.0
prowler-cloud/prowler,1,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0,218,0.0
prowler-cloud/prowler,2,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0,209,0.0
prowler-cloud/prowler,3,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0,217,0.0
prowler-cloud/prowler,4,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0,179,0.0
rancher/dashboard,1,5,5,62,189.0,231.0,204.04439153439156,30.38554479923058,42.0,4,0,1,0,216,2.314814814814815
rancher/dashboard,2,2,4,13,231.0,1142.0,967.4622089947089,1.3437217370493795,911.0,0,1,3,0,246,0.8130081300813008
rancher/dashboard,3,4,16,197,1142.0,1199.0,1179.9837888558202,16.695144616437695,57.0,8,7,1,0,237,1.6877637130801688
rancher/dashboard,4,1,7,14,1199.0,1199.0,1199.0,1.1676396997497915,0.0,0,0,7,0,250,0.4
thaw-app/Thaw,1,2,2,95,127.0,127.0,127.0,74.80314960629921,0.0,1,1,0,0,49,4.081632653061225
thaw-app/Thaw,2,1,1,15,127.0,128.0,127.89196221891534,11.728649509907578,1.0,1,0,0,0,432,0.23148148148148148
thaw-app/Thaw,3,9,9,104,128.0,162.0,145.86666418650793,71.29799024335237,34.0,4,1,4,0,120,7.5
thaw-app/Thaw,4,1,1,3,162.0,165.0,164.13693700396828,1.8277421613682665,3.0,1,0,0,0,19,5.2631578947368425
wp-media/wp-rocket,1,3,3,80,310.0,256.0,256.31669642857145,31.211388534064476,-54.0,0,1,2,0,134,2.2388059701492535
wp-media/wp-rocket,2,0,0,0,256.0,256.0,256.0,0.0,0.0,0,0,0,0,32,0.0
wp-media/wp-rocket,3,0,0,0,256.0,256.0,256.0,0.0,0.0,0,0,0,0,54,0.0
wp-media/wp-rocket,4,0,0,0,256.0,256.0,256.0,0.0,0.0,0,0,0,0,83,0.0
