source_full_name,period,maintenance_commits,commit_file_events,churn,start_size,end_size,mean_size,relative_churn,net_growth,expanding_events,shrinking_events,balanced_content_events,non_content_events
openvinotoolkit/openvino.genai,2,6,6,106,287.0,353.0,322.0208101851852,32.91712729343248,66.0,6,0,0,0
openvinotoolkit/openvino.genai,3,0,0,0,353.0,353.0,353.0,0.0,0.0,0,0,0,0
openvinotoolkit/openvino.genai,4,0,0,0,353.0,353.0,353.0,0.0,0.0,0,0,0,0
prowler-cloud/prowler,1,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0
prowler-cloud/prowler,2,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0
prowler-cloud/prowler,3,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0
prowler-cloud/prowler,4,0,0,0,115.0,115.0,115.0,0.0,0.0,0,0,0,0
rancher/dashboard,1,5,5,62,189.0,231.0,204.04439153439156,30.38554479923058,42.0,4,0,1,0
rancher/dashboard,2,2,4,13,231.0,1142.0,967.4622089947089,1.3437217370493795,911.0,0,1,3,0
rancher/dashboard,3,4,16,197,1142.0,1199.0,1179.9837888558202,16.695144616437695,57.0,8,7,1,0
rancher/dashboard,4,1,7,14,1199.0,1199.0,1199.0,1.1676396997497915,0.0,0,0,7,0
thaw-app/Thaw,1,2,2,95,127.0,127.0,127.0,74.80314960629921,0.0,1,1,0,0
thaw-app/Thaw,2,1,1,15,127.0,128.0,127.89196221891534,11.728649509907578,1.0,1,0,0,0
thaw-app/Thaw,3,9,9,104,128.0,162.0,145.86666418650793,71.29799024335237,34.0,4,1,4,0
thaw-app/Thaw,4,1,1,3,162.0,165.0,164.13693700396828,1.8277421613682665,3.0,1,0,0,0
wp-media/wp-rocket,1,3,3,80,310.0,256.0,256.31669642857145,31.211388534064476,-54.0,0,1,2,0
wp-media/wp-rocket,2,0,0,0,256.0,256.0,256.0,0.0,0.0,0,0,0,0
wp-media/wp-rocket,3,0,0,0,256.0,256.0,256.0,0.0,0.0,0,0,0,0
wp-media/wp-rocket,4,0,0,0,256.0,256.0,256.0,0.0,0.0,0,0,0,0
