label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
COMMUNICATION:Automation Disclosure,72,25,19,210,6,53,0.7951388888888888,0.30177514792899396,0.76,0.2638888888888889,0.3917525773195876
CONSTRAINT:Scope Boundary,221,224,194,37,30,27,0.8020833333333334,0.4368825466520309,0.8660714285714286,0.8778280542986425,0.8719101123595505
EXAMPLE:Worked Case,56,6,3,229,3,53,0.8055555555555556,0.06145251396648058,0.5,0.05357142857142857,0.0967741935483871
RESOURCE:Agent Resource,62,25,19,220,6,43,0.8298611111111112,0.35725997449444374,0.76,0.3064516129032258,0.4367816091954023
COMMUNICATION:Audience Voice,58,18,16,228,2,42,0.8472222222222222,0.36,0.8888888888888888,0.27586206896551724,0.42105263157894735
TASK:Artifact Review,72,61,45,200,16,27,0.8506944444444444,0.5804878048780487,0.7377049180327869,0.625,0.6766917293233082
EVALUATION:Execution Check,74,53,44,205,9,30,0.8645833333333334,0.6090769873311987,0.8301886792452831,0.5945945945945946,0.6929133858267716
TASK:Artifact Change,96,120,89,161,31,7,0.8680555555555556,0.7205882352941176,0.7416666666666667,0.9270833333333334,0.8240740740740741
PROCESS:Decision Branch,251,234,224,27,10,27,0.8715277777777778,0.520259319286872,0.9572649572649573,0.8924302788844621,0.9237113402061856
COMMUNICATION:Expert Role,135,155,127,125,28,8,0.875,0.7511879049676026,0.8193548387096774,0.9407407407407408,0.8758620689655172
TASK:Executable Validation,60,68,47,207,21,13,0.8819444444444444,0.6588628762541805,0.6911764705882353,0.7833333333333333,0.734375
EVALUATION:Evidence Credibility,32,7,4,253,3,28,0.8923611111111112,0.17210682492581636,0.5714285714285714,0.125,0.20512820512820512
SAFETY:Execution Isolation,40,17,13,244,4,27,0.8923611111111112,0.40701381509032974,0.7647058823529411,0.325,0.45614035087719296
OUTPUT:Standalone Artifact,40,20,16,244,4,24,0.9027777777777778,0.4857142857142858,0.8,0.4,0.5333333333333333
PROCESS:Cross-Run Memory,52,50,38,224,12,14,0.9097222222222222,0.6902713434811383,0.76,0.7307692307692307,0.7450980392156863
OUTPUT:Repository Change,86,105,83,180,22,3,0.9131944444444444,0.8051315362130561,0.7904761904761904,0.9651162790697675,0.8691099476439791
RESOURCE:Development Toolchain,54,54,43,223,11,11,0.9236111111111112,0.7492877492877494,0.7962962962962963,0.7962962962962963,0.7962962962962963
PROCESS:Required Sequence,254,269,251,16,18,3,0.9270833333333334,0.5671342685370745,0.9330855018587361,0.9881889763779528,0.9598470363288719
RESOURCE:Web Retrieval,41,38,29,238,9,12,0.9270833333333334,0.6919942961906703,0.7631578947368421,0.7073170731707317,0.7341772151898734
SAFETY:Vulnerability Handling,18,3,3,270,0,15,0.9479166666666666,0.2727272727272726,1.0,0.16666666666666666,0.2857142857142857
OUTPUT:Existing Thread Response,114,106,103,171,3,11,0.9513888888888888,0.897121861604409,0.9716981132075472,0.9035087719298246,0.9363636363636364
OUTPUT:New Thread,120,107,107,168,0,13,0.9548611111111112,0.9056831922611851,1.0,0.8916666666666667,0.9427312775330396
SAFETY:Information Confidentiality,21,14,12,265,2,9,0.9618055555555556,0.6662452591656135,0.8571428571428571,0.5714285714285714,0.6857142857142857
PROCESS:Work Delegation,26,27,22,257,5,4,0.96875,0.8129870129870129,0.8148148148148148,0.8461538461538461,0.8301886792452831
SAFETY:Prompt Injection Defense,27,20,20,261,0,7,0.9756944444444444,0.8381502890173409,1.0,0.7407407407407407,0.851063829787234
