source_key,source_full_name,md_path,history_relative,event_count,subsequent_change_count,is_write_once,first_observed_at,last_observed_at,collected_at,observed_age_days,change_span_days,days_since_last_change,median_intercommit_days,first_followup_days,active_day_count,active_month_count,total_additions,total_deletions,total_churn,subsequent_additions,subsequent_deletions,subsequent_churn,frontmatter_only_changes,body_only_changes,both_changes,non_content_changes,unknown_location_changes,human_event_count,agent_event_count,unknown_actor_event_count,subsequent_human_event_count,subsequent_agent_event_count
dotnet/aspnetcore:.github/workflows/triage-comment-reviewer.md,dotnet/aspnetcore,.github/workflows/triage-comment-reviewer.md,dotnet__aspnetcore__00f4d7e452c7/history.json,4,3,0,2026-06-02 12:02:24+00:00,2026-07-20T12:02:22+00:00,2026-08-04T11:25:14+00:00,62.974189814814814,47.999976851851855,14.974212962962962,12.685717592592592,27.170347222222222,4,2,391,14,405,34,14,48,3,0,0,0,0,4,0,0,3,0
dotnet/maintenance-packages:.github/workflows/version-maintenance.md,dotnet/maintenance-packages,.github/workflows/version-maintenance.md,dotnet__maintenance-packages__cab2a98ed9d0/history.json,4,3,0,2026-03-09 16:47:44+00:00,2026-07-07T19:25:09+00:00,2026-08-04T11:25:18+00:00,147.77608796296298,120.10931712962964,27.66677083333333,8.079837962962962,0.935914351851852,4,2,344,20,364,129,20,149,2,0,1,0,0,3,1,0,3,0
dotnet/skills:.github/workflows/devops-health-check.md,dotnet/skills,.github/workflows/devops-health-check.md,dotnet__skills__95b89be02cc9/history.json,23,22,0,2026-03-02 20:59:28+00:00,2026-07-20T13:20:14+00:00,2026-08-04T11:25:34+00:00,154.60145833333334,139.68108796296298,14.920370370370373,1.9101909722222223,0.7650694444444445,19,5,821,313,1134,360,313,673,8,7,7,0,0,22,1,0,21,1
dotnet/skills:.github/workflows/devops-health-groom.md,dotnet/skills,.github/workflows/devops-health-groom.md,dotnet__skills__8ab014bb9738/history.json,19,18,0,2026-03-05 09:23:47+00:00,2026-07-20T13:20:14+00:00,2026-08-04T11:25:34+00:00,152.08457175925926,137.1642013888889,14.920370370370373,3.1048032407407407,0.9880092592592592,17,5,557,195,752,335,195,530,9,6,3,0,0,19,0,0,18,0
dotnet/skills:.github/workflows/devops-health-investigate.md,dotnet/skills,.github/workflows/devops-health-investigate.md,dotnet__skills__7aec45e071cb/history.json,13,12,0,2026-03-02 20:59:28+00:00,2026-07-20T13:20:14+00:00,2026-08-04T11:25:31+00:00,154.6014236111111,139.68108796296298,14.920335648148148,5.066319444444444,0.7650694444444445,13,4,331,145,476,181,145,326,9,0,3,0,0,13,0,0,12,0
dotnet/skills:.github/workflows/issue-investigate.md,dotnet/skills,.github/workflows/issue-investigate.md,dotnet__skills__cea6c5ac96f9/history.json,6,5,0,2026-05-06 13:39:20+00:00,2026-07-20T13:20:14+00:00,2026-08-04T11:25:30+00:00,89.90706018518519,74.98673611111111,14.920324074074074,15.593900462962964,1.7456944444444444,6,3,329,122,451,99,122,221,4,1,0,0,0,6,0,0,5,0
dotnet/skills:.github/workflows/issue-triage.md,dotnet/skills,.github/workflows/issue-triage.md,dotnet__skills__f55c62584992/history.json,9,8,0,2026-05-06 13:39:20+00:00,2026-07-20T13:20:14+00:00,2026-08-04T11:25:31+00:00,89.90707175925925,74.98673611111111,14.920335648148148,2.988674768518518,0.8775,8,3,353,121,474,151,121,272,5,1,2,0,0,8,1,0,7,1
dotnet/skills:.github/workflows/markdown-linter.md,dotnet/skills,.github/workflows/markdown-linter.md,dotnet__skills__f89feadf487e/history.json,5,4,0,2026-04-23 13:57:45+00:00,2026-07-20T13:20:14+00:00,2026-08-04T11:25:30+00:00,102.89427083333334,87.97394675925926,14.920324074074074,20.104195601851853,47.16712962962963,5,3,335,121,456,99,121,220,4,0,0,0,0,5,0,0,4,0
dotnet/skills:.github/workflows/pr-malicious-scan.agent.md,dotnet/skills,.github/workflows/pr-malicious-scan.agent.md,dotnet__skills__9518c57af614/history.json,6,5,0,2026-06-03 20:01:19+00:00,2026-07-20T13:20:14+00:00,2026-08-04T11:25:31+00:00,61.64180555555556,46.72146990740741,14.920335648148148,5.310763888888889,0.6038888888888889,6,2,419,150,569,169,150,319,4,0,1,0,0,6,0,0,5,0
drasi-project/drasi-server:.github/workflows/pr-correctness-reviewer.md,drasi-project/drasi-server,.github/workflows/pr-correctness-reviewer.md,drasi-project__drasi-server__fbe012dfe9c1/history.json,1,0,1,2026-06-05 16:40:00+00:00,2026-06-05T16:40:00+00:00,2026-08-04T11:25:34+00:00,59.78164351851852,0.0,59.78164351851852,,,1,1,197,0,197,0,0,0,0,0,0,0,0,1,0,0,0,0
